combo,s1,s2,s3,geometry_rank_centered,gradient_rank_C,success_count,cycle_count,status,cvt_ep_mean,cvt_ep_median,cvt_eR_mean,cvt_eR_median,cci_ep_mean,cci_ep_median,cci_eR_mean,cci_eR_median,delta_cci_minus_cvt_ep_mean,delta_cci_minus_cvt_eR_mean,cci_better_ep_count,cci_better_eR_count
1-2-3,1,2,3,1,3,0,10,invalid_geometry,,,,,,,,,,,0,0
1-2-4,1,2,4,2,5,10,10,ok,0.042259703812368848,0.045323245361921519,0.27449447754262402,0.26117577466928571,0.040336862441036153,0.043723897437273215,0.26246448692507618,0.25330299401271783,-0.0019228413713326953,-0.012029990617547837,9,8
1-2-5,1,2,5,2,5,10,10,ok,0.030902716398894459,0.03202205771372936,0.22356888780315542,0.21970443654485755,0.028622163211689762,0.029126294594516041,0.21686265246812586,0.20465343817186357,-0.0022805531872046973,-0.0067062353350295645,8,8
1-2-6,1,2,6,2,5,10,10,ok,0.028900651460058335,0.029615524734590649,0.24178031216156959,0.23822235868971753,0.027838213406139328,0.02853777891357024,0.23393346415381897,0.22673778201604133,-0.001062438053919007,-0.0078468480077506231,6,6
1-2-7,1,2,7,2,5,10,10,ok,0.022806576015825007,0.021699165586886289,0.25405439892797332,0.23635361410539824,0.025974016748808587,0.023523449795235025,0.29164524208996856,0.29182820831621731,0.0031674407329835806,0.037590843161995235,2,1
1-2-8,1,2,8,2,5,10,10,ok,0.021902256512763913,0.023228844552860811,0.23061300823606218,0.24022010065925531,0.026229304701044953,0.026071288420303599,0.2412589618614846,0.24760684780060443,0.0043270481882810401,0.010645953625422422,1,3
1-2-9,1,2,9,2,5,10,10,ok,0.027244607947849043,0.026947644076021592,0.19177576589749742,0.19955032072195764,0.030915707775998631,0.026957690193318153,0.23440881112227013,0.21340130232084945,0.0036710998281495877,0.042633045224772709,3,6
1-2-10,1,2,10,2,5,10,10,ok,0.024427826127775883,0.018957347639284663,0.20371332203483936,0.17008982241909526,0.02822584834519018,0.023455720863787735,0.27573806828587311,0.26815100159683447,0.0037980222174142965,0.07202474625103375,4,4
1-2-11,1,2,11,2,5,10,10,ok,0.025359590646810908,0.020521309169015685,0.16584648596555518,0.13406476705324788,0.030693181944085223,0.027460500746722787,0.26865438153199317,0.22633149857305995,0.0053335912972743149,0.10280789556643799,2,4
1-2-12,1,2,12,2,5,10,10,ok,0.028039479375223171,0.024905161980391673,0.16144526465763892,0.14192881857844164,0.036316990134893333,0.033116814863526155,0.32287900354309007,0.30674623741885226,0.0082775107596701619,0.16143373888545115,0,2
1-3-4,1,3,4,2,5,10,10,ok,0.036693468715981378,0.039873556627616422,0.29555861821640939,0.29354232797098079,0.037645924347031623,0.039164755712894211,0.29197663554108849,0.28613865645407166,0.00095245563105024467,-0.0035819826753208939,3,6
1-3-5,1,3,5,2,5,10,10,ok,0.026796865551314365,0.027958089863708215,0.21912805621873727,0.21149325337040037,0.026094741505068453,0.026225791657778066,0.21429912318143568,0.21224304107015984,-0.00070212404624591176,-0.004828933037301586,7,7
1-3-6,1,3,6,2,5,10,10,ok,0.02123369700121373,0.020645689058740008,0.24884485962836758,0.23667821697550995,0.021158916050809023,0.019895236393282691,0.22893677754355282,0.2159072813888957,-7.4780950404706309e-05,-0.01990808208481476,4,7
1-3-7,1,3,7,2,5,10,10,ok,0.018407539016109725,0.017965362108641872,0.29060914217284828,0.29642961205675589,0.024587552348689014,0.022419522844345084,0.31575324116532838,0.30357996354139821,0.0061800133325792886,0.025144098992480102,0,3
1-3-8,1,3,8,2,5,10,10,ok,0.017778619334799635,0.017634068089389929,0.26018460397048659,0.27137632154775337,0.024223968169917391,0.023778179355865091,0.25388541111191221,0.24660404815749637,0.0064453488351177562,-0.0062991928585743873,0,5
1-3-9,1,3,9,2,5,10,10,ok,0.020475328747589124,0.020220841983910963,0.21533886288251008,0.23447343460540532,0.025360120926378498,0.022457268348201973,0.22710896043138287,0.22514980109799515,0.0048847921787893746,0.011770097548872788,1,7
1-3-10,1,3,10,2,5,10,10,ok,0.020936462995823545,0.019097203025609528,0.18540266077898876,0.1517915907569532,0.024579883170746157,0.019944161620692322,0.23097842851836123,0.20056196208920196,0.0036434201749226125,0.045575767739372469,3,4
1-3-11,1,3,11,2,5,10,10,ok,0.020460758422691329,0.019091099170796946,0.15441581167157964,0.13797551246459269,0.024745374546864266,0.021254908476435297,0.22223283263847446,0.18398678874782332,0.0042846161241729373,0.06781702096689482,3,4
1-3-12,1,3,12,2,5,10,10,ok,0.020089641269563849,0.019352504408735396,0.14926439531194205,0.1421475920024563,0.026227698444589803,0.022616834028941844,0.25182683733790812,0.23461972941173054,0.0061380571750259544,0.10256244202596607,1,3
1-4-5,1,4,5,2,5,10,10,ok,0.027838900843371307,0.029181047100004527,0.44212932933859139,0.40495266756459769,0.036971524044817836,0.0340924575940246,0.30557345033073291,0.28465740029888065,0.009132623201446529,-0.13655587900785848,1,10
1-4-6,1,4,6,2,5,10,10,ok,0.033309743397586779,0.036282095540121816,0.35075085416910512,0.36254459731541211,0.037284209513504876,0.037564023125842436,0.29280354893964061,0.28266954612254158,0.0039744661159180975,-0.057947305229464507,2,10
1-4-7,1,4,7,2,5,10,10,ok,0.013296954626469761,0.0098566683970738034,0.48216897685574683,0.46782447203623678,0.015143515411300582,0.011140863296305939,0.47693604358033215,0.47534196288509389,0.0018465607848308207,-0.0052329332754146862,2,4
1-4-8,1,4,8,2,5,10,10,ok,0.011665374283926996,0.011715873343822179,0.47125152423735683,0.45734405920197718,0.011168128822472784,0.0081859562353296146,0.45574971879776471,0.43824449415512656,-0.00049724546145421197,-0.01550180543959212,4,7
1-4-9,1,4,9,2,5,10,10,ok,0.017877075758653441,0.017445494539029396,0.38171653064136823,0.37668919072163298,0.015637976129369558,0.015945475196939108,0.33455741686343254,0.32589249063681436,-0.0022390996292838833,-0.047159113777935691,8,10
1-4-10,1,4,10,2,5,10,10,ok,0.021457539466540825,0.02222526388655215,0.3508726891202979,0.32414851458772165,0.022505925189889819,0.022090895957973141,0.29701211995818444,0.28582011088376424,0.0010483857233489942,-0.053860569162113459,3,10
1-4-11,1,4,11,2,5,10,10,ok,0.016566413026326075,0.016172679585102042,0.46343904904743383,0.44657107560302567,0.017922600484594948,0.017430043100934392,0.39686453236548169,0.35897705244237682,0.0013561874582688725,-0.066574516681952134,1,10
1-4-12,1,4,12,2,5,10,10,ok,0.016129688317509015,0.014344072700027733,0.47622285059391134,0.48369358835803222,0.014587406480152979,0.014502263062202486,0.44288667288538297,0.45514509050894303,-0.0015422818373560365,-0.033336177708528369,7,10
1-5-6,1,5,6,2,5,10,10,ok,0.030147288233830116,0.029562385653038564,0.29861045321737278,0.28378869692111952,0.027590769620321205,0.027408186262982921,0.29034664087694073,0.28590551402301367,-0.002556518613508911,-0.0082638123404320529,8,6
1-5-7,1,5,7,2,5,10,10,ok,0.017056651210640889,0.016702604341671316,0.5317323192961696,0.53645317459315844,0.021152585734755956,0.021702792840282044,0.51703797136109453,0.54604626850605431,0.0040959345241150663,-0.014694347935075069,1,4
1-5-8,1,5,8,2,5,10,10,ok,0.011085720688599318,0.0084880350086549046,0.51015225088566418,0.50067655762982111,0.016702293376406711,0.016439656379381426,0.52207210541421645,0.51590620960530353,0.0056165726878073929,0.011919854528552265,1,3
1-5-9,1,5,9,2,5,10,10,ok,0.013099974814360194,0.012728399053236738,0.41281705719108686,0.41949068443864135,0.010790099516903033,0.0099849354449341246,0.4024458174983564,0.39226575673174641,-0.0023098752974571608,-0.010371239692730461,7,4
1-5-10,1,5,10,2,5,10,10,ok,0.014568936329389331,0.014676340964753051,0.35530037604239673,0.33261323201102627,0.020842984827463169,0.018653090936703056,0.22715054360291229,0.20785865535486853,0.0062740484980738382,-0.12814983243948444,2,10
1-5-11,1,5,11,2,5,10,10,ok,0.013302816903748344,0.014351988043268465,0.51029638283882472,0.51124131946203821,0.017100789163453083,0.020544902717615752,0.42306772233719181,0.41717241526823429,0.0037979722597047388,-0.087228660501632915,2,9
1-5-12,1,5,12,2,5,10,10,ok,0.013321205205191065,0.011647587089896678,0.57385445919408218,0.58287445595690202,0.012945606348484965,0.012196664726369058,0.58897441722068467,0.59783706644200407,-0.00037559885670609972,0.015119958026602487,5,2
1-6-7,1,6,7,2,5,10,10,ok,0.017733159111941534,0.01844975937807403,0.49866290288912041,0.49284721335628501,0.022577959481916272,0.024354828541066704,0.46978007610422939,0.52820913578081097,0.0048448003699747381,-0.028882826784891014,1,5
1-6-8,1,6,8,2,5,10,10,ok,0.012916686733074251,0.011400805782487972,0.49651271306241762,0.49557006133764842,0.019336859171650164,0.019938992249978374,0.48320825415153107,0.51363248084894919,0.0064201724385759135,-0.013304458910886552,0,4
1-6-9,1,6,9,2,5,10,10,ok,0.013236747362286822,0.013426291484844624,0.41967886769196089,0.41845117344353788,0.012930605354804479,0.012895187298637428,0.39095551751670138,0.40087342139033133,-0.00030614200748234344,-0.02872335017525951,3,6
1-6-10,1,6,10,2,5,10,10,ok,0.015737902026244324,0.014126643386129839,0.31326973570188055,0.32494980744325908,0.022945730818667593,0.014588115370692798,0.2321955509914872,0.22112920220159563,0.0072078287924232688,-0.081074184710393349,4,9
1-6-11,1,6,11,2,5,10,10,ok,0.015369287741532419,0.015038164982351696,0.40680289910935014,0.44856227018530859,0.022406052207128456,0.018136363515689154,0.29250778196481275,0.31468610693157339,0.0070367644655960366,-0.11429511714453738,0,10
1-6-12,1,6,12,2,5,10,10,ok,0.015202691211100326,0.016013752649749885,0.50010731876350856,0.52108898338798526,0.021491154375401892,0.022255415695050969,0.38808243626249378,0.46178176760102785,0.0062884631643015665,-0.11202488250101478,1,10
1-7-8,1,7,8,2,5,10,10,ok,0.047532105320678933,0.045995887415115663,0.57839360828632025,0.55571686677765064,0.053191700356998481,0.054637533263896074,0.58947524243808958,0.58543381213695389,0.005659595036319548,0.011081634151769326,1,4
1-7-9,1,7,9,2,5,10,10,ok,0.027085796009262149,0.024333714927062655,0.44558868499978876,0.44267208462685786,0.029539814801505297,0.028106499390004924,0.39283425298881536,0.4422578030002538,0.0024540187922431483,-0.052754432010973407,2,6
1-7-10,1,7,10,2,5,10,10,ok,0.032440240864680739,0.031934174767564008,0.71985309741897241,0.7183752897168485,0.038625958746995807,0.038262462591650337,0.77394313245783442,0.77219245402736125,0.0061857178823150685,0.054090035038862005,0,0
1-7-11,1,7,11,2,5,10,10,ok,0.039241468029598013,0.041157634117643678,0.73250663428954799,0.74142031388402807,0.044810452337582359,0.044835886379528664,0.74851765735209308,0.76254132152670273,0.0055689843079843454,0.016011023062545093,1,2
1-7-12,1,7,12,2,5,10,10,ok,0.035769582931868701,0.034519727114204063,0.6576660567496655,0.65868079145503911,0.041655121691215304,0.041533942839444553,0.66030492455744383,0.69669390678338794,0.0058855387593466021,0.0026388678077783334,1,2
1-8-9,1,8,9,2,5,10,10,ok,0.024186397980495485,0.026625062544496651,0.3081635020523098,0.32785426874364432,0.026902422719928452,0.02604061269534701,0.2480278217584472,0.26084065047076976,0.0027160247394329672,-0.060135680293862598,5,9
1-8-10,1,8,10,2,5,10,10,ok,0.013365501311352834,0.013117494932672575,0.4054930791374794,0.41983307736752479,0.017572032611560439,0.01584679434100586,0.46929027612312224,0.46718913598975398,0.0042065313002076048,0.063797196985642846,0,0
1-8-11,1,8,11,2,5,10,10,ok,0.017007872634345979,0.016541178288440914,0.51065421916640052,0.5272297153192439,0.02628425623091054,0.026789300719719973,0.58335900610702562,0.58588483518486556,0.0092763835965645608,0.072704786940625099,0,0
1-8-12,1,8,12,2,5,10,10,ok,0.021522580124008896,0.020783533866857953,0.54545524936138468,0.53169286471319077,0.029846156077935088,0.028875419045572372,0.58106636839000747,0.58671089488423434,0.0083235759539261912,0.035611119028622795,0,1
1-9-10,1,9,10,2,5,10,10,ok,0.015768650367160828,0.014861891559051835,0.24181568108924814,0.24737318020192484,0.014097796234081935,0.014265316062048079,0.1852625999295974,0.17780718995245492,-0.0016708541330788928,-0.056553081159650742,10,10
1-9-11,1,9,11,2,5,10,10,ok,0.0123077516475845,0.011829411553540736,0.28170767363397797,0.29670769886672677,0.011286192136564243,0.010494850801779761,0.23117851744645379,0.23987707475220621,-0.0010215595110202574,-0.050529156187524182,6,10
1-9-12,1,9,12,2,5,10,10,ok,0.012136214702218888,0.010858326073622238,0.30785751102550607,0.29957264554200891,0.012697048398262958,0.012375046735637663,0.23767895476676598,0.22897137411256341,0.00056083369604406977,-0.070178556258740088,5,10
1-10-11,1,10,11,2,5,10,10,ok,0.024681195927017362,0.026556213452116867,0.16845199417947482,0.15964595151228517,0.028570945484854126,0.029873303408227699,0.24239238164358992,0.18724288526703037,0.0038897495578367643,0.073940387464115104,3,3
1-10-12,1,10,12,2,5,10,10,ok,0.018743713979775325,0.018687271314297715,0.19261453432121275,0.20947498629953701,0.017896304972007299,0.017663945533291418,0.12893920851563595,0.12889998650814932,-0.00084740900776802616,-0.063675325805576805,8,9
1-11-12,1,11,12,2,5,10,10,ok,0.013276636203532064,0.0096482863673899959,0.30414339795447087,0.30597183941723161,0.011969187654976881,0.0099200123827635194,0.32549236705931794,0.32489993584240734,-0.0013074485485551832,0.021348969104847071,7,3
2-3-4,2,3,4,2,5,10,10,ok,0.032434453371779151,0.034401934421665489,0.30954965208745094,0.31597445360912518,0.034565659364819104,0.037749859248381243,0.29273985639318184,0.29401817601552716,0.002131205993039953,-0.016809795694269103,2,8
2-3-5,2,3,5,2,5,10,10,ok,0.024644925976941044,0.025130160307928782,0.23961046108418743,0.22069778889749922,0.024854559601070195,0.025492062281525465,0.22024858103794251,0.21690572586880355,0.00020963362412915187,-0.019361880046244923,4,9
2-3-6,2,3,6,2,5,10,10,ok,0.020086968288233236,0.020055839442255911,0.31350555599714264,0.32383952608984434,0.021375963366686325,0.02270056608957699,0.28332634224718589,0.27214909185210623,0.0012889950784530889,-0.030179213749956746,3,9
2-3-7,2,3,7,2,5,10,10,ok,0.027694098798967275,0.023966227240225832,0.4378678372520991,0.44400672153884513,0.040060873498090191,0.033533322563057924,0.50183579925532018,0.49631005202104272,0.012366774699122916,0.063967962003221079,0,1
2-3-8,2,3,8,2,5,10,10,ok,0.025859472210179348,0.025572934065564126,0.37575758458234604,0.41017571083065696,0.035727819604920448,0.033720872616956193,0.38907388346107796,0.41311321743800056,0.0098683473947411005,0.013316298878731925,0,3
2-3-9,2,3,9,2,5,10,10,ok,0.020018873710160198,0.022244231270980994,0.2924078466919241,0.30557039159939414,0.023584071205233578,0.023980443536561639,0.25571944294865212,0.24250636083285243,0.0035651974950733807,-0.03668840374327198,1,9
2-3-10,2,3,10,2,5,10,10,ok,0.020992384563702397,0.020732282301962654,0.25651558174097844,0.28004481532868464,0.021472272052160579,0.018834322455401824,0.21964273186661959,0.20234185748233036,0.00047988748845818191,-0.036872849874358848,7,7
2-3-11,2,3,11,2,5,10,10,ok,0.015599392448627814,0.014807863739286831,0.20785062788392211,0.21232772052716381,0.017543500957918005,0.014051708462796063,0.18985647202865027,0.17503996881809045,0.0019441085092901916,-0.017994155855271837,4,7
2-3-12,2,3,12,2,5,10,10,ok,0.013216748519398433,0.013727830583125059,0.1995736534868269,0.21194715198135766,0.015574171158936445,0.012199355726707575,0.20425275782826691,0.18321692918491544,0.0023574226395380125,0.0046791043414400046,3,7
2-4-5,2,4,5,2,5,10,10,ok,0.024911173740658231,0.025459638407243759,0.45344120073276983,0.41723722287952869,0.033694644555185962,0.030745406336121932,0.26265059530919704,0.24331669154781965,0.0087834708145277315,-0.19079060542357279,1,10
2-4-6,2,4,6,2,5,10,10,ok,0.030021405534259599,0.029639666222619446,0.33354769302346715,0.33748010502506237,0.034143145500186552,0.032903895716445974,0.25095500816537253,0.23356743180283498,0.0041217399659269523,-0.082592684858094623,2,10
2-4-7,2,4,7,2,5,10,10,ok,0.017955612169165525,0.016652686149424792,0.35187560073999663,0.33587802521693283,0.016809252493945968,0.015373802013258941,0.35625356342699499,0.34544408461986054,-0.0011463596752195569,0.0043779626869983601,7,4
2-4-8,2,4,8,2,5,10,10,ok,0.021111029729284338,0.019104405874635487,0.34122368520095236,0.32802762037830602,0.017771656279271051,0.018117549438043189,0.34304912695195605,0.32530597918739601,-0.0033393734500132867,0.0018254417510036869,7,2
2-4-9,2,4,9,2,5,10,10,ok,0.024830723352665156,0.023880814555266132,0.27870335005048463,0.26145806629426438,0.020296911348578334,0.019933756782721551,0.25113361464013029,0.23121442570652695,-0.0045338120040868228,-0.027569735410354346,8,8
2-4-10,2,4,10,2,5,10,10,ok,0.023381322803619427,0.023465620549581737,0.272024644098039,0.25660083257037219,0.02378270525457012,0.023603981903825656,0.24027830377831413,0.20501329566098042,0.00040138245095069219,-0.031746340319724869,7,9
2-4-11,2,4,11,2,5,10,10,ok,0.021076479422759996,0.020047642267986332,0.32254833259392057,0.30363626618749395,0.021448200681422072,0.019686996974937098,0.25942752816291226,0.24750193262043954,0.00037172125866207634,-0.063120804431008315,7,10
2-4-12,2,4,12,2,5,10,10,ok,0.021567180230674367,0.017879543252454909,0.32912706257516111,0.32097404589100775,0.019533991138752274,0.016740149979472214,0.28144350465686696,0.2738334517874762,-0.0020331890919220927,-0.04768355791829415,9,10
2-5-6,2,5,6,2,5,10,10,ok,0.027133399658970429,0.026546487788650323,0.2915830938312991,0.29084594568809241,0.025118984364327256,0.024118110864581099,0.27018622020606925,0.27226756874750735,-0.002014415294643173,-0.021396873625229851,8,7
2-5-7,2,5,7,2,5,10,10,ok,0.015814520333558235,0.017513929954194499,0.49065984847572663,0.49009257243832394,0.020521653296324174,0.022562517941262204,0.47843156264530134,0.5082861124175132,0.0047071329627659392,-0.012228285830425289,0,4
2-5-8,2,5,8,2,5,10,10,ok,0.011331158165551442,0.010838970167662637,0.45001267226943253,0.44312887551438984,0.014953212805429045,0.013618187748476188,0.46392658656141678,0.45732375287860449,0.0036220546398776036,0.013913914291984242,2,1
2-5-9,2,5,9,2,5,10,10,ok,0.014885710841114789,0.014133024640589751,0.35674288935496712,0.35598420241724477,0.01068078548106677,0.0099882192627605299,0.36527123955379548,0.35199187003005006,-0.0042049253600480192,0.0085283501988283605,7,2
2-5-10,2,5,10,2,5,10,10,ok,0.017937659495955303,0.015115184853301752,0.25357293108745027,0.24952216207805358,0.020243553487026885,0.016672341345021519,0.17639972818470895,0.16177964352632898,0.0023058939910715823,-0.077173202902741322,5,9
2-5-11,2,5,11,2,5,10,10,ok,0.016760617707000193,0.013804465522803247,0.38719511663084094,0.38224679875925271,0.015837015158180985,0.015116953099540078,0.35194877688203541,0.32968429327549015,-0.00092360254881920789,-0.035246339748805533,6,8
2-5-12,2,5,12,2,5,10,10,ok,0.017527552057057021,0.01572740893895555,0.42582595393324707,0.43434237732277525,0.011971733589555601,0.010933252889411478,0.45639763868008593,0.44619933759520636,-0.0055558184675014201,0.030571684746838856,7,1
2-6-7,2,6,7,2,5,10,10,ok,0.022662267889232056,0.024112685675348071,0.50828322197878995,0.5238498844470596,0.024915951822975613,0.027984623641294719,0.44082092058856215,0.52428223256208806,0.0022536839337435575,-0.067462301390227797,3,7
2-6-8,2,6,8,2,5,10,10,ok,0.014795212369466737,0.01247217759798248,0.49255575568051962,0.49210213967791583,0.019838404494299463,0.02030315640314587,0.45569732881093011,0.49059832718850876,0.0050431921248327259,-0.036858426869589511,0,7
2-6-9,2,6,9,2,5,10,10,ok,0.012806271462843083,0.012534958896231449,0.41218963039889511,0.41772913955688168,0.011566788001776126,0.0093679634411118241,0.39572771923437294,0.39440365129014954,-0.0012394834610669567,-0.016461911164522169,5,6
2-6-10,2,6,10,2,5,10,10,ok,0.015687623657992405,0.014142585454856858,0.28316580238255645,0.30809038679491585,0.020389633666675192,0.012858468746520302,0.20746570610263429,0.22648737783807998,0.0047020100086827867,-0.075700096279922163,4,9
2-6-11,2,6,11,2,5,10,10,ok,0.014143669880888133,0.013179322771319481,0.40776857111321851,0.44686406048254124,0.01772225572970814,0.017234041981388046,0.30106044442642088,0.35040004700773558,0.0035785858488200078,-0.10670812668679763,2,10
2-6-12,2,6,12,2,5,10,10,ok,0.014291104819037326,0.015569930960053352,0.52537224333503174,0.5580860969134156,0.017413140113484205,0.017212916332003957,0.45466687457134486,0.49770015609353735,0.0031220352944468788,-0.070705368763686882,2,8
2-7-8,2,7,8,2,5,10,10,ok,0.048622804273204985,0.048574303844712632,0.5416033954307885,0.5415565368293831,0.055033800807407773,0.057721255717436061,0.54215737877855674,0.55366784215314646,0.0064109965342027883,0.00055398334776823877,0,5
2-7-9,2,7,9,2,5,10,10,ok,0.030891030567981446,0.030035367678373802,0.45698612794545318,0.47524512543380171,0.032309941752288421,0.031260560686029421,0.38828110876182553,0.44009444762857042,0.0014189111843069743,-0.068705019183627647,4,8
2-7-10,2,7,10,2,5,10,10,ok,0.020631487584999057,0.021388254899122904,0.53779559498071561,0.53284839323271838,0.027713769739350351,0.026428104918640692,0.57553654523631614,0.60068132534734731,0.0070822821543512944,0.037740950255600536,0,1
2-7-11,2,7,11,2,5,10,10,ok,0.026530600550946491,0.027438226227607276,0.52866608292073625,0.5262568497628759,0.02957180231523069,0.030267827555280784,0.50239889751049449,0.54738848954225827,0.0030412017642841987,-0.026267185410241756,2,7
2-7-12,2,7,12,2,5,10,10,ok,0.030110232139831494,0.031033929042519233,0.52794499995976574,0.53784974674934616,0.031965154731841409,0.032724732866743114,0.47147793558591111,0.51782648414666288,0.0018549225920099152,-0.056467064373854625,3,9
2-8-9,2,8,9,2,5,10,10,ok,0.023628449663719735,0.022735444724463948,0.35327030601526171,0.38963998186843363,0.028407705801077855,0.026678118121856442,0.28308595559386218,0.34275213710730734,0.0047792561373581205,-0.070184350421399533,4,9
2-8-10,2,8,10,2,5,10,10,ok,0.013832419656975717,0.012780960839690311,0.43324120591726711,0.43062143388524354,0.022452898958781678,0.021021263341404379,0.51891785221681697,0.51642938916745484,0.0086204793018059608,0.085676646299549852,0,0
2-8-11,2,8,11,2,5,10,10,ok,0.021754477473519541,0.021387848711664,0.53347939244302256,0.52187111579341305,0.030645098518074555,0.030348138265545763,0.58606140000128348,0.59079507950383658,0.0088906210445550138,0.052582007558260924,0,0
2-8-12,2,8,12,2,5,10,10,ok,0.027284801839166505,0.027817584741133449,0.56051422839110787,0.57024233981748007,0.033297205902836323,0.033120831504668734,0.55310785279528107,0.56774955420250062,0.0060124040636698184,-0.0074063755958267974,0,6
2-9-10,2,9,10,2,5,10,10,ok,0.015522550492063854,0.014866064876612017,0.28099876443193567,0.27365524671454394,0.014140977865887356,0.014918645911396435,0.2602602226963856,0.24166635855801549,-0.0013815726261764989,-0.020738541735550065,7,9
2-9-11,2,9,11,2,5,10,10,ok,0.012030478054619643,0.010804002493073433,0.34156243771393291,0.35754445493578157,0.011620292118988273,0.011163964543366418,0.32185531798475686,0.32346128477722225,-0.00041018593563136967,-0.019707119729176048,4,9
2-9-12,2,9,12,2,5,10,10,ok,0.012394040067301611,0.011404053227870234,0.37797871147954593,0.35392936861597091,0.014013866467618135,0.012999288179460224,0.33968640017079993,0.32908644372508283,0.0016198264003165243,-0.038292311308745997,2,9
2-10-11,2,10,11,2,5,10,10,ok,0.029372084057610555,0.02940526343252263,0.16191740206826061,0.14859824610263694,0.035075110475688287,0.03395653057468092,0.27010896175057597,0.1837900302039461,0.0057030264180777321,0.10819155968231536,3,3
2-10-12,2,10,12,2,5,10,10,ok,0.019620137432804073,0.016690845777779732,0.18919032237960404,0.20349382480029782,0.017647957230048403,0.014660411614806353,0.1443344266325621,0.14704079141620274,-0.0019721802027556704,-0.044855895747041935,9,9
2-11-12,2,11,12,2,5,10,10,ok,0.012368489864151467,0.0096165577569619441,0.31685037417197343,0.33004551033364427,0.01173371285458048,0.01016015771932605,0.3410533366025249,0.34055700544006701,-0.00063477700957098766,0.024202962430551478,3,2
3-4-5,3,4,5,2,5,10,10,ok,0.027726119777567802,0.027904438277661182,0.42721871664889255,0.41819673615782471,0.036523650306997807,0.034482292624907068,0.19397091124840415,0.15591570664328888,0.0087975305294300046,-0.23324780540048839,1,10
3-4-6,3,4,6,2,5,10,10,ok,0.028646748537252492,0.028086109186166365,0.30310621955650791,0.30000971434323087,0.031897869903373476,0.029976145973940362,0.20891145540385056,0.17533541456950158,0.0032511213661209834,-0.094194764152657345,0,10
3-4-7,3,4,7,2,5,10,10,ok,0.020464035494738679,0.017937671137081113,0.28220915458848955,0.27039246286216695,0.020511589124681505,0.018584205857821834,0.27236163619067721,0.2784498818120954,4.7553629942825859e-05,-0.0098475183978123382,5,6
3-4-8,3,4,8,2,5,10,10,ok,0.023519116645646453,0.022435286795938675,0.25399020484005863,0.2400858500906638,0.022391323861669414,0.021602098926826237,0.25711362371512692,0.24386016912071012,-0.0011277927839770385,0.0031234188750682845,6,2
3-4-9,3,4,9,2,5,10,10,ok,0.027519721231815654,0.028758896532891105,0.21112136276187318,0.18408993891958553,0.025396126707553805,0.025154626086309889,0.19869073422214595,0.16767714572276032,-0.0021235945242618487,-0.012430628539727234,8,8
3-4-10,3,4,10,2,5,10,10,ok,0.022589401135592296,0.021786939938766452,0.23904417519561344,0.24924152770399324,0.022846509473836579,0.022223514053544689,0.21259258450628185,0.21135421070540028,0.00025710833824428223,-0.026451590689331589,4,9
3-4-11,3,4,11,2,5,10,10,ok,0.021333489614190387,0.021830733202176857,0.26008697359726818,0.26337123231939669,0.021755366944131629,0.021543398837611458,0.20740850169997219,0.19054856921946936,0.00042187732994124205,-0.052678471897295992,4,9
3-4-12,3,4,12,2,5,10,10,ok,0.020920420845628774,0.018854336860404726,0.27468757995970178,0.27307173733918799,0.01947246277826049,0.016922550706845889,0.23513054233743064,0.22266868972457632,-0.0014479580673682838,-0.039557037622271141,10,10
